Room,Type,Make,Model,IpAddress
6113 - Sequoia,20 - 22 Person Boardroom,CISCO,ROOM KIT PRO,30.92.0.190
6113 - Sequoia,20 - 22 Person Boardroom,SAMSUNG,QM98N,30.92.1.126
6112 - Pando ,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.186
6112 - Pando ,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.1.125
6111- Fern ,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.184
6111- Fern ,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.1.124
6110 - Daisy ,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.182
6110 - Daisy ,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.1.123
6109 - Aster ,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.180
6109 - Aster ,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.1.122
6108 - Marigold ,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.178
6108 - Marigold ,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.1.121
6107 - Delphinium,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.176
6107 - Delphinium,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.1.120
6106 - Maple ,Small Informal Meeting Room,CISCO,Room Kit Mini,30.92.0.174
6106 - Maple ,Small Informal Meeting Room,SAMSUNG,QM43N,30.92.1.119
Cube A ,The Cube One,SAMSUNG,QM75N,30.92.1.118
Cube A ,The Cube One,SAMSUNG,QM75N,30.92.1.117
Cube A ,The Cube One,SAMSUNG,QM49N,30.92.1.116
6114 - Tjikko ,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.171
6114 - Tjikko ,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.1.115
6115 - Helium ,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.169
6115 - Helium ,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.1.114
6116 - Beryllium,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.167
6116 - Beryllium,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.1.113
6103 - Maize ,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.165
6103 - Maize ,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.1.112
6104 - Olive ,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.163
6104 - Olive ,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.1.111
6105 - Clover ,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.92.0.161
6105 - Clover ,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.1.110
Cube B,The Cube Two,SAMSUNG,QM75N,30.92.1.109
Cube B,The Cube Two,SAMSUNG,QM55N,30.92.1.108
Cube B,The Cube Two,SAMSUNG,QM49N,30.92.1.107
6117 - Centurion,8-9 Person Meeting Room,CISCO,Room Kit,
6117 - Centurion,8-9 Person Meeting Room,SAMSUNG,QM65N,30.92.1.106
6102 - Barberry ,4-5 Person Meeting Room,CISCO,Room Kit Mini,
6102 - Barberry ,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.1.105
6101 - Hyperion ,14 Person Meeting Room,SAMSUNG,QM75N,30.92.1.104
MCR,The Cube One & Two,CISCO,ROOM KIT PRO,30.92.0.149
MCR,The Cube One & Two,CISCO,ROOM KIT PRO,30.92.0.148
6301,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.160.253
6301,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.162.62
6302,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.160.251
6302,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.162.61
6303,8-9 Person Meeting Room,CISCO,Room Kit,30.92.160.249
6303,8-9 Person Meeting Room,SAMSUNG,QM65N,30.92.162.60
6304,4-5 Person Meeting Room,CISCO,Room Kit Mini,30.92.160.247
6304,4-5 Person Meeting Room,SAMSUNG,QM49N,30.92.162.59
6305,Medium Informal Meeting Room,CISCO,Room Kit Mini,30.92.160.245
6305,Medium Informal Meeting Room,SAMSUNG,QM49N,30.92.162.58
6306,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.92.160.243
6306,6-7 Person Meeting Room,SAMSUNG,QM55N,30.92.162.57
6307,6-7 Person Meeting Room,CISCO,Room Kit Mini,30.92.160.241
